__time,/predictor/armor_predictions/header/stamp/nanosec,/predictor/armor_predictions/header/stamp/sec,/predictor/armor_predictions/predictions[0]/armor_id,/predictor/armor_predictions/predictions[0]/distance,/predictor/armor_predictions/predictions[0]/pitch,/predictor/armor_predictions/predictions[0]/position/x,/predictor/armor_predictions/predictions[0]/position/y,/predictor/armor_predictions/predictions[0]/position/z,/predictor/armor_predictions/predictions[0]/velocity/x,/predictor/armor_predictions/predictions[0]/velocity/y,/predictor/armor_predictions/predictions[0]/velocity/z,/predictor/armor_predictions/predictions[0]/yaw
1751346441.920948,920517331.000000000,1751346441.000000000,4.000000000,0.250220210,-0.101000752,0.248680597,-0.011471154,-0.025229483,-0.000472833,-0.001666232,-0.000013438,-0.046095386
1751346441.970813,970489098.000000000,1751346441.000000000,4.000000000,0.250259053,-0.100468157,0.248730662,-0.011515279,-0.025100789,-0.000428899,-0.001609591,0.000121343,-0.046263146
1751346442.020752,20504185.000000000,1751346442.000000000,4.000000000,0.250257251,-0.099977736,0.248739674,-0.011547358,-0.024978492,-0.000406941,-0.001557809,0.000241098,-0.046390160
1751346442.070818,70476151.000000000,1751346442.000000000,4.000000000,0.250256146,-0.099522786,0.248748818,-0.011571140,-0.024865094,-0.000386364,-0.001501936,0.000346561,-0.046483859
1751346442.120886,120504492.000000000,1751346442.000000000,4.000000000,0.250293412,-0.099229824,0.248792254,-0.011591932,-0.024795832,-0.000353488,-0.001444174,0.000403891,-0.046559146
1751346442.170948,170483646.000000000,1751346442.000000000,4.000000000,0.250442340,-0.099237268,0.248939409,-0.011613740,-0.024812441,-0.000278020,-0.001371296,0.000373983,-0.046619075
1751346442.220741,220521433.000000000,1751346442.000000000,4.000000000,0.249734473,-0.098990155,0.248235898,-0.011708942,-0.024680900,-0.000587140,-0.001423934,0.000450402,-0.047133674
1751346442.270767,270501546.000000000,1751346442.000000000,4.000000000,0.248697464,-0.098660215,0.247206154,-0.011809102,-0.024496759,-0.001034975,-0.001490202,0.000559114,-0.047733970
1751346442.320862,320519744.000000000,1751346442.000000000,4.000000000,0.247090597,-0.098207471,0.245611304,-0.011911995,-0.024227155,-0.001722567,-0.001569078,0.000716766,-0.048461403
1751346442.370801,370516342.000000000,1751346442.000000000,4.000000000,0.246469716,-0.098249612,0.244984478,-0.012058936,-0.024176614,-0.001974432,-0.001678410,0.000703859,-0.049183568
1751346442.420844,420516580.000000000,1751346442.000000000,4.000000000,0.247277653,-0.098367556,0.245769655,-0.012399938,-0.024284890,-0.001588426,-0.001939167,0.000606866,-0.050410750
1751346442.470798,470488955.000000000,1751346442.000000000,4.000000000,0.247156011,-0.098225410,0.245638113,-0.012670102,-0.024237981,-0.001614440,-0.002130319,0.000620256,-0.051534688
1751346442.520816,520478982.000000000,1751346442.000000000,4.000000000,0.247025260,-0.097772298,0.245504698,-0.012940202,-0.024113765,-0.001636207,-0.002310335,0.000711995,-0.052659844
1751346442.570776,570509424.000000000,1751346442.000000000,4.000000000,0.246929856,-0.097486133,0.245407150,-0.013116589,-0.024034126,-0.001646221,-0.002392386,0.000759966,-0.053397468
